event_name,event_date,event_location,event_details_url,weight_class,fight_stats_page_url,header_fighter_a_name,header_fighter_a_nickname,header_fighter_a_outcome,header_fighter_b_name,header_fighter_b_nickname,header_fighter_b_outcome,header_winner_name,header_round_detailed,header_time_detailed,header_time_format_detailed,header_referee_detailed,header_finish_details_detailed,fighter_a_per_round_totals_json,fighter_a_per_round_sig_strikes_json,fighter_a_kd,fighter_a_sig_str_landed,fighter_a_sig_str_attempted,fighter_a_sig_str_pct,fighter_a_total_str_landed,fighter_a_total_str_attempted,fighter_a_td_landed,fighter_a_td_attempted,fighter_a_td_pct,fighter_a_sub_att,fighter_a_rev,fighter_a_ctrl_time_seconds,fighter_a_sig_strikes_head_landed,fighter_a_sig_strikes_head_attempted,fighter_a_sig_strikes_body_landed,fighter_a_sig_strikes_body_attempted,fighter_a_sig_strikes_leg_landed,fighter_a_sig_strikes_leg_attempted,fighter_a_sig_strikes_distance_landed,fighter_a_sig_strikes_distance_attempted,fighter_a_sig_strikes_clinch_landed,fighter_a_sig_strikes_clinch_attempted,fighter_a_sig_strikes_ground_landed,fighter_a_sig_strikes_ground_attempted,fighter_b_per_round_totals_json,fighter_b_per_round_sig_strikes_json,fighter_b_kd,fighter_b_sig_str_landed,fighter_b_sig_str_attempted,fighter_b_sig_str_pct,fighter_b_total_str_landed,fighter_b_total_str_attempted,fighter_b_td_landed,fighter_b_td_attempted,fighter_b_td_pct,fighter_b_sub_att,fighter_b_rev,fighter_b_ctrl_time_seconds,fighter_b_sig_strikes_head_landed,fighter_b_sig_strikes_head_attempted,fighter_b_sig_strikes_body_landed,fighter_b_sig_strikes_body_attempted,fighter_b_sig_strikes_leg_landed,fighter_b_sig_strikes_leg_attempted,fighter_b_sig_strikes_distance_landed,fighter_b_sig_strikes_distance_attempted,fighter_b_sig_strikes_clinch_landed,fighter_b_sig_strikes_clinch_attempted,fighter_b_sig_strikes_ground_landed,fighter_b_sig_strikes_ground_attempted,event_date_iso,FightID_generated
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9766ed20b68c7c33,Flyweight,http://ufcstats.com/fight-details/9d8a37f130db13e5,Manel Kape,"""StarBoy""",W,Asu Almabayev,"""Zulfikar""",L,Manel Kape,3,2:16,5 Rnd (5-5-5-5-5),Mike Beltran,Punches to Head At Distance,[],[],0,61,115,0.53,62,119,0,1,0.0,0,0,29,47,95,11,17,3,3,46,94,9,15,6,6,[],[],0,40,80,0.5,40,81,0,6,0.0,0,0,0,19,55,13,17,8,8,38,77,2,3,0,0,2025-03-01T00:00:00,9d8a37f130db13e5
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9766ed20b68c7c33,Middleweight,http://ufcstats.com/fight-details/6bdf0756fb57aced,Cody Brundage,,W,Julian Marquez,"""The Cuban Missile Crisis""",L,Cody Brundage,1,4:45,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground,[],[],1,44,79,0.55,68,106,0,1,0.0,0,0,48,39,71,1,2,4,6,34,65,5,8,5,6,[],[],0,37,73,0.5,53,96,0,0,0.0,1,0,30,31,64,5,8,1,1,24,51,13,22,0,0,2025-03-01T00:00:00,6bdf0756fb57aced
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9766ed20b68c7c33,Lightweight,http://ufcstats.com/fight-details/061990783b9bdb36,Nasrat Haqparast,,W,Esteban Ribovics,"""El Gringo""",L,Nasrat Haqparast,3,5:00,3 Rnd (5-5-5),Jason Herzog,,[],[],0,135,273,0.49,135,273,1,5,0.2,0,0,49,103,233,26,34,6,6,134,272,1,1,0,0,[],[],0,147,433,0.33,149,436,0,0,0.0,0,0,0,120,395,17,27,10,11,147,433,0,0,0,0,2025-03-01T00:00:00,061990783b9bdb36
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9766ed20b68c7c33,Featherweight,http://ufcstats.com/fight-details/0dfdc94c1da32e20,Hyder Amil,"""The Hurricane""",W,William Gomis,"""Jaguar""",L,Hyder Amil,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,[],[],0,115,202,0.56,164,262,1,6,0.16,0,0,163,60,140,37,42,18,20,98,180,15,20,2,2,[],[],0,101,187,0.54,116,205,0,3,0.0,0,0,82,60,134,27,39,14,14,90,169,11,18,0,0,2025-03-01T00:00:00,0dfdc94c1da32e20
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9766ed20b68c7c33,Welterweight,http://ufcstats.com/fight-details/d6c3b730dc9f21a5,Danny Barlow,"""LeftHand2God""",L,Sam Patterson,,W,Sam Patterson,1,3:10,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance,[],[],0,15,30,0.5,15,30,0,0,0.0,0,0,0,10,23,2,3,3,4,15,30,0,0,0,0,[],[],1,18,34,0.52,18,34,0,0,0.0,0,0,3,14,28,4,6,0,0,15,29,0,0,3,5,2025-03-01T00:00:00,d6c3b730dc9f21a5
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9766ed20b68c7c33,Heavyweight,http://ufcstats.com/fight-details/a857acedb53ee959,Austen Lane,,L,Mario Pinto,,W,Mario Pinto,2,0:39,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,[],[],1,32,63,0.5,36,75,0,1,0.0,0,0,53,17,42,13,17,2,4,31,58,1,5,0,0,[],[],1,13,23,0.56,16,26,0,1,0.0,0,0,18,8,18,2,2,3,3,12,20,1,2,0,1,2025-03-01T00:00:00,a857acedb53ee959
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9766ed20b68c7c33,Featherweight,http://ufcstats.com/fight-details/dd1df7f5a54fd9fc,Ricardo Ramos,,L,Chepe Mariscal,"""Machine Gun""",W,Chepe Mariscal,3,5:00,3 Rnd (5-5-5),Jason Herzog,,[],[],0,37,91,0.4,37,91,1,4,0.25,0,0,28,17,63,14,18,6,10,32,84,5,7,0,0,[],[],0,85,162,0.52,125,210,2,5,0.4,0,0,155,59,122,9,14,17,26,64,132,14,19,7,11,2025-03-01T00:00:00,dd1df7f5a54fd9fc
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9766ed20b68c7c33,Featherweight,http://ufcstats.com/fight-details/1de799f17556b501,Danny Silva,"""El Puma""",W,Lucas Almeida,,L,Danny Silva,3,5:00,3 Rnd (5-5-5),Mike Beltran,,[],[],0,82,137,0.59,85,141,1,3,0.33,0,0,49,45,96,14,18,23,23,81,133,0,2,1,2,[],[],0,74,240,0.3,78,244,0,1,0.0,0,0,17,49,203,14,23,11,14,73,239,1,1,0,0,2025-03-01T00:00:00,1de799f17556b501
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9766ed20b68c7c33,Women's Flyweight,http://ufcstats.com/fight-details/1ada4b9ee5810e0f,Andrea Lee,"""KGB""",L,JJ Aldrich,,W,JJ Aldrich,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,[],[],0,53,175,0.3,66,192,1,4,0.25,1,0,46,13,109,25,44,15,22,52,174,1,1,0,0,[],[],0,74,137,0.54,77,142,2,3,0.66,0,0,80,54,114,10,13,10,10,68,130,5,6,1,1,2025-03-01T00:00:00,1ada4b9ee5810e0f
UFC Fight Night: Kape vs. Almabayev,"March 01, 2025","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9766ed20b68c7c33,Flyweight,http://ufcstats.com/fight-details/206b8c14546d71f1,Charles Johnson,"""InnerG""",L,Ramazan Temirov,"""Temurlan""",W,Ramazan Temirov,3,5:00,3 Rnd (5-5-5),Jason Herzog,,[],[],0,66,156,0.42,87,183,0,3,0.0,0,0,78,28,104,23,32,15,20,46,129,20,27,0,0,[],[],0,55,139,0.39,59,146,1,2,0.5,0,0,23,42,117,13,22,0,0,46,118,9,19,0,2,2025-03-01T00:00:00,206b8c14546d71f1
